Timestamp,Count,year,month,day,Hour,Day,Weekend
2012-08-25,3.1666666666666665,2012.0,8.0,25.0,11.5,5.0,1.0
2012-08-26,3.6666666666666665,2012.0,8.0,26.0,11.5,6.0,1.0
2012-08-27,2.5833333333333335,2012.0,8.0,27.0,11.5,0.0,0.0
2012-08-28,2.4166666666666665,2012.0,8.0,28.0,11.5,1.0,0.0
2012-08-29,2.5,2012.0,8.0,29.0,11.5,2.0,0.0
2012-08-30,3.0833333333333335,2012.0,8.0,30.0,11.5,3.0,0.0
2012-08-31,3.25,2012.0,8.0,31.0,11.5,4.0,0.0
2012-09-01,4.666666666666667,2012.0,9.0,1.0,11.5,5.0,1.0
2012-09-02,4.916666666666667,2012.0,9.0,2.0,11.5,6.0,1.0
2012-09-03,4.5,2012.0,9.0,3.0,11.5,0.0,0.0
2012-09-04,2.75,2012.0,9.0,4.0,11.5,1.0,0.0
2012-09-05,4.333333333333333,2012.0,9.0,5.0,11.5,2.0,0.0
2012-09-06,4.166666666666667,2012.0,9.0,6.0,11.5,3.0,0.0
2012-09-07,2.8333333333333335,2012.0,9.0,7.0,11.5,4.0,0.0
2012-09-08,4.166666666666667,2012.0,9.0,8.0,11.5,5.0,1.0
2012-09-09,2.8333333333333335,2012.0,9.0,9.0,11.5,6.0,1.0
2012-09-10,2.6666666666666665,2012.0,9.0,10.0,11.5,0.0,0.0
2012-09-11,2.4166666666666665,2012.0,9.0,11.0,11.5,1.0,0.0
2012-09-12,3.5,2012.0,9.0,12.0,11.5,2.0,0.0
2012-09-13,3.0,2012.0,9.0,13.0,11.5,3.0,0.0
2012-09-14,3.5,2012.0,9.0,14.0,11.5,4.0,0.0
2012-09-15,3.8333333333333335,2012.0,9.0,15.0,11.5,5.0,1.0
2012-09-16,2.9166666666666665,2012.0,9.0,16.0,11.5,6.0,1.0
2012-09-17,3.8333333333333335,2012.0,9.0,17.0,11.5,0.0,0.0
2012-09-18,7.833333333333333,2012.0,9.0,18.0,11.5,1.0,0.0
2012-09-19,6.583333333333333,2012.0,9.0,19.0,11.5,2.0,0.0
2012-09-20,3.5,2012.0,9.0,20.0,11.5,3.0,0.0
2012-09-21,3.75,2012.0,9.0,21.0,11.5,4.0,0.0
2012-09-22,3.25,2012.0,9.0,22.0,11.5,5.0,1.0
2012-09-23,4.25,2012.0,9.0,23.0,11.5,6.0,1.0
2012-09-24,6.75,2012.0,9.0,24.0,11.5,0.0,0.0
2012-09-25,6.666666666666667,2012.0,9.0,25.0,11.5,1.0,0.0
2012-09-26,4.916666666666667,2012.0,9.0,26.0,11.5,2.0,0.0
2012-09-27,4.333333333333333,2012.0,9.0,27.0,11.5,3.0,0.0
2012-09-28,3.25,2012.0,9.0,28.0,11.5,4.0,0.0
2012-09-29,2.5833333333333335,2012.0,9.0,29.0,11.5,5.0,1.0
2012-09-30,14.833333333333334,2012.0,9.0,30.0,11.5,6.0,1.0
